Vendor,Item Number,Vendor Description,Pack,Inventory Item,Status,Note
Southern (Proof),681087,CHALK HILL CHARDONNAY RRV(SC)24,750ML  •  6 Case  •  SCREW CAP,Chalk Hill Chardonnay,mapped,
Southern (Proof),91282,DAILYS GRENADINE SYRUP 6B,1.0L  •  6 Case  •  SCREW CAP  •  GLASS,Grenadine,mapped,
Southern (Proof),564994,DEL MAGUEY MEZCAL PUEBLA 80,750ML  •  6 Case  •  NATURAL CORK,Del Maguey Mezcal,mapped,
Southern (Proof),971835,DON JULIO TEQ BLANCO 80,750ML  •  6 Case  •  ALTERNATIVE,Don Julio 70,mapped,
Southern (Proof),981539,LIQUID ALCHEMIST COCONUT SYRUP,750ML  •  6 Case  •  SCREW CAP,Coconut Syrup,mapped,
Southern (Proof),923376,SUNTORY ROKU GIN 86,750ML  •  6 Case  •  NATURAL CORK  •  GLASS,Roku,mapped,
Southern (Proof),972007,ZING ZANG BLOODY MARY MIX PET,32 Z  •  12 Case  •  SCREW CAP,Bloody Mary Mix,mapped,
Southern (Proof),623935,CONUNDRUM RED(SC)22,750ML  •  12 Case  •  SCREW CAP,Conundrum Red Blend,mapped,
Southern (Proof),25213,DEKUYPER PEACHTREE SCHN 30,1.0L  •  12 Case  •  SCREW CAP  •  GLASS,Peach Schnapps,mapped,
Southern (Proof),291742,DEL MAGUEY MEZCAL VIDA 84,750ML  •  6 Case  •  ALTERNATIVE  •  GLASS,Del Maguey Mezcal,mapped,
Southern (Proof),981526,LIQUID ALCHEMIST ORGEAT SYRUP,750ML  •  6 Case  •  SCREW CAP,Orgeat Syrup,mapped,
Southern (Proof),631498,CROWN ROYAL CANADIAN 80(BAR),1.0L  •  12 Case  •  SCREW CAP,Crown Royal,mapped,
Southern (Proof),33497,DEKUYPER TRIPLE SEC 30,1.0L  •  12 Case  •  SCREW CAP  •  GLASS,Triple Sec,mapped,
Southern (Proof),24601,JAMESON IRISH WHISKEY 80,1.0L  •  12 Case  •  SCREW CAP  •  GLASS,Jameson,mapped,
Southern (Proof),653500,RITTENHOUSE RYE BOTTLED BOND 100,1.0L  •  12 Case  •  SCREW CAP,Rittenhouse Rye,mapped,
Southern (Proof),624006,DON JULIO TEQ ANEJO 70TH ANNIV 80,750ML  •  6 Case  •  ALTERNATIVE,Don Julio 70,mapped,
Southern (Proof),666380,SVEDKA VOD PEACH 70,1.0L  •  12 Case  •  SCREW CAP,Peach Schnapps,mapped,
Southern (Proof),697604,SVEDKA VODKA WATER AST CAN 3/8PK,355ML  •  3 Case  •  ALTERNATIVE,Svedka Water,mapped,
Southern (Proof),118695,PATRON TEQUILA SILVER 80 BAR,750ML  •  12 Case  •  ALTERNATIVE  •  GLASS,Patron Silver,mapped,
Southern (Proof),654546,PINNACLE VODKA 80 PET,1.0L  •  12 Case  •  SCREW CAP,Pinnacle Citrus,mapped,
Southern (Proof),28729,BACARDI RUM SUPERIOR WHITE 80,750ML  •  12 Case  •  SCREW CAP  •  GLASS,Bacardi,mapped,
Southern (Proof),651298,LUXARDO AMARETTO DI SASCHIRA 48,750ML  •  6 Case  •  SYNTHETIC CORK,Luxardo Amaretto,mapped,
Southern (Proof),284690,MIDORI MELON LIQ 40,1.0L  •  6 Case  •  SCREW CAP  •  GLASS,midori,mapped,
Southern (Proof),677021,CONUNDRUM RED(SC)23,750ML  •  12 Case  •  SCREW CAP,Conundrum Red Blend,mapped,
Southern (Proof),631491,CROWN ROYAL CANADIAN 80 YRC,750ML  •  12 Case  •  ALTERNATIVE,Crown Royal,mapped,
Gate City (SipMarket),60904,SURFSIDE VODKA STRAWBERRY LEMONADE C24 12OZ 4PSL,"24 - 12oz Cans, 4 Pack",Surfside Cans,mapped,
Gate City (SipMarket),14015,MODELO ESP K 1/2BBL,Half Barrel,Modelo,mapped,
Gate City (SipMarket),67652,HIGH NOON VODKA WATERMELON C24 355ML LSE,24 - 355ml Slim Cans Loose,High Noon Watermelon,mapped,
Gate City (SipMarket),10323,GUINNESS DRAUGHT K 50L (13.2G),13.2 Gallon Nitro Barrel,Guinness,mapped,
Gate City (SipMarket),53591,CALI SQUEEZE BLOOD ORANGE K 50L (13.2G),13.2 Gallon Barrel,Cali Squeeze,mapped,
Gate City (SipMarket),10157,CORONA EXTRA B24 12OZ 6P,"24 - 12oz Bottles, 6 Pack",Corona Bottle,mapped,
Gate City (SipMarket),31422,ALESMITH BREW SAN DIEGO PALE ALE 394 K 1/2BBL,Half Barrel,Pale Ale,mapped,
Gate City (SipMarket),67698,FEVER TREE LIGHT GINGER BEER B24 200ML 4P,"24 - 200ml Bottles, 4 Pack",Ginger Beer,mapped,
Gate City (SipMarket),67682,FEVER TREE ESPRESSO MARTINI B8 500ML,8 - 500ml Bottles,Fever Tree Espresso,mapped,
Gate City (SipMarket),121836CW,OLD FORESTER 86 PROOF B12 1L,12 - 1 Liter Bottles,Old Forester,mapped,
Gate City (SipMarket),67696,FEVER TREE PREMIUM GINGER BEER B24 200ML 4P,"24 - 200ml Bottles, 4 Pack",Ginger Beer,mapped,
Gate City (SipMarket),323455BW,EAGLE RARE BOURBON 10 YEAR B6 750ML,750ml Bottle,Eagle Rare 10,mapped,
Gate City (SipMarket),121879BW,EAGLE RARE 12 YEAR OLD B6 750ML,6 - 750ml Bottles,Eagle Rare 10,mapped,
Gate City (SipMarket),122468BW,HENDRICKS GIN B6 750ML,6 - 750ml Bottles,Hendrick's,mapped,
Gate City (SipMarket),121743BW,HERRADURA ULTRA ANEJO B6 750ML,6 - 750ml Bottles,Herradura Ultra,mapped,
Gate City (SipMarket),122097BW,MIJENTA TEQUILA REPOSADO B6 750ML,750ml Bottle,Mijenta Repo,mapped,
Gate City (SipMarket),324073CW,WHEATLEY VODKA B12 1L,12 - 1 Liter Bottles Case,Well Vodka (Wheatley),mapped,
Gate City (SipMarket),122466BW,HENDRICKS GIN B6 1L,6 - 1 Liter Bottles,Hendrick's,mapped,
Gate City (SipMarket),71438,BUCKHORN LEMONADE VARIETY C24 12OZ 8P,"24 - 12oz Cans, 8 Pack",Lemonade,mapped,
Gate City (SipMarket),61197,JACK DAN RTD JACK AND COKE C24 12OZ 4P,"24 - 12oz Cans, 4 Pack",Coke,mapped,
Southern (Proof),109101,PATRON TEQ SILVER 80 BAR PK,750ML  •  6 Case  •  ALTERNATIVE  •  GLASS,Patron Silver,mapped,
Southern (Proof),624574,SAUZA TEQ BLANCO SIGNATURE BLUE 80,1.0L  •  12 Case  •  SCREW CAP,Sauza Blanco,mapped,
Southern (Proof),430016,ANCHO REYES ANCHO CHILE LIQ 80,750ML  •  6 Case  •  SCREW CAP,Ancho Reyes Chile,mapped,
Southern (Proof),49357,DEKUYPER PUCKER WATERMELON SCHN 30,1.0L  •  12 Case  •  SCREW CAP  •  GLASS,Watermelon Pucker,mapped,
Southern (Proof),703274,FERRARI CARANO PINOT GRIGIO(SC)25,750ML  •  12 Case  •  SCREW CAP,Ferrari Pinot Grigio,mapped,
Southern (Proof),43177,PATRON TEQ REPOSADO 80,750ML  •  12 Case  •  ALTERNATIVE  •  GLASS,Patron Reposado,mapped,
Southern (Proof),606162,PINNACLE VOD CITRUS 60 PET,1.0L  •  12 Case  •  SCREW CAP,Pinnacle Citrus,mapped,
Southern (Proof),618726,PLANTERAY RUM 3 STAR WHITE 82.4,1.0L  •  6 Case  •  T-TOP,Planteray White Rum,mapped,
Gate City (SipMarket),67648,HIGH NOON VODKA BLACK CHERRY C24 355ML LSE,24 - 355ml Slim Cans Loose,High Noon Cherry,mapped,
Gate City (SipMarket),57229,ATHLETIC NA RUN WILD IPA C24 12OZ 12P,"24 - 12oz Cans, 12 Pack",Athletic NA IPA,mapped,
Gate City (SipMarket),67620,HIGH NOON VODKA BLACK CHERRY C24 355ML 4PSL,"24 - 355ml Slim Cans, 4 Pack",High Noon Cherry,mapped,
Gate City (SipMarket),61518,SUN CRUISER CLASSIC ICED TEA PLUS VODKA C24 12OZ LSESL,24 - 12oz Cans,Sun Cruiser (Iced Tea + Vodka),mapped,
Southern (Proof),14580,KIM CRAWFORD SAUV BLANC(SC),750ML  •  12 Case  •  SCREW CAP  •  GLASS,Kim Crawford Sauvignon Blanc,mapped,
Southern (Proof),911824,EL TESORO TEQ REPOSADO 80,750ML  •  6 Case  •  SYNTHETIC CORK  •  GLASS,El Tosoro Reposado,mapped,
Southern (Proof),36126,KETEL ONE VODKA 80,1.0L  •  12 Case  •  SCREW CAP  •  GLASS,Kettle One,mapped,
Southern (Proof),893113,EL TESORO TEQ BLANCO 80,750ML  •  6 Case  •  SYNTHETIC CORK  •  GLASS,El Tosoro Blanco,mapped,
Southern (Proof),151682,TRADER VICS MACADAMIA NUT LIQ 53,750ML  •  6 Case  •  SCREW CAP,Trader Vic's Macadamia,mapped,
Southern (Proof),9998,MAKERS MARK BBN 90,1.0L  •  12 Case  •  SCREW CAP  •  GLASS,Maker's Mark,mapped,
Southern (Proof),512832,SYCAMORE LANE CAB SAUV(SC),750ML  •  12 Case  •  SCREW CAP,Sycamore Lane Cabernet,mapped,
Gate City (SipMarket),323394CW,CORAZON REPOSADO TEQUILA B6 1L,6 - 1 Liter Bottles Case,Patron Reposado,mapped,
Gate City (SipMarket),12562,ATHLETIC NA CERVEZA C24 12OZ 6P,"24 - 12oz Cans, 6 Pack",Athletic NA IPA,mapped,
Southern (Proof),964124,APPLETON RUM EST SIGN 80,750ML  •  12 Case  •  NATURAL CORK,Appleton Estate,mapped,
Southern (Proof),948644,GAMBINO SPARKING WINE BRUT(SC),750ML  •  12 Case  •  SCREW CAP,Gambino Sparkling,mapped,
Gate City (SipMarket),67655,HIGH NOON VODKA TEA ORIGINAL C24 355ML LSE,24 - 355ml Slim Cans Loose,High Noon Iced Tea,mapped,
Southern (Proof),666599,SVEDKA VOD CITRON 70,1.0L  •  12 Case  •  SCREW CAP,Svedka Citrus,mapped,
Gate City (SipMarket),323870BW,RYANS CREAM LIQUOR B12 750ML,750ml Bottle,Irish Cream,mapped,
Southern (Proof),623350,PLANTERAY RUM CUT&DRY COCONUT 80,700ML  •  6 Case  •  T-TOP,Plantreray Cut and Dry,mapped,
Gate City (SipMarket),67638,HIGH NOON VODKA TEA VARIETY C24 355ML 8PSL,"24 - 355ml Slim Cans, 8 Pack",High Noon Iced Tea,mapped,
Southern (Proof),958883,JOSH CELLARS PINOT GRIGIO(SC),750ML  •  12 Case  •  SCREW CAP,,ignore,
Southern (Proof),597191,CAPT MORGAN RUM SP MV 70,1.0L  •  12 Case  •  SCREW CAP,Captain Morgan,mapped,
Southern (Proof),685530,CAYMUS CAB SAUV CALIF 23,750ML  •  12 Case  •  NATURAL CORK,Caymus California,mapped,
Southern (Proof),981540,LIQUID ALCHEMIST PRICKLY PEAR SYR,750ML  •  6 Case  •  SCREW CAP,Prickly Pear Syrup,mapped,
Gate City (SipMarket),323805CW,PUEBLO VIEJO BLANCO TEQUILA B12 1L,12 - 1 Liter Bottles Case,Well Teuila,NEEDS DECISION,
Southern (Proof),946337,HORNITOS TEQ REPOSADO 80,750ML  •  12 Case  •  SYNTHETIC CORK,,ignore,
Gate City (SipMarket),323851BW,ROCKHILL FARMS BOURBON B6 750ML,750ml Bottle,,ignore,
Southern (Proof),690483,FERRARI CARANO P GRIG FRI GRV(SC24,750ML  •  12 Case  •  SCREW CAP,Cherries (Maraschino),mapped,
Southern (Proof),186010,J ROGET BRUT(SC),750ML  •  12 Case  •  SCREW CAP  •  GLASS,,ignore,
Gate City (SipMarket),22495,FIRESTONE 805 K 50L (13.2G),13.2 Gallon Barrel,805 Keg,NEEDS DECISION,
Gate City (SipMarket),70722,FIRESTONE 805 C24 16OZ 6P,"24 - 16oz Cans, 6 Pack",,ignore,
Gate City (SipMarket),70078,BUCKHORN BOURBON WHISKEY B6 1.75L,6 - 1.75 Liter Bottles,,ignore,
Southern (Proof),624592,SAUZA TEQ REP SIGNATURE BLUE 80,1.0L  •  12 Case  •  SCREW CAP,Sauza Blanco,mapped,
Southern (Proof),971110,STAGS LEAP HANDS TIME CHARD SONOMA,750ML  •  12 Case  •  NATURAL CORK,Stags Leap,NEEDS DECISION,
Southern (Proof),12414,FREIXENET CORDON NEGRO BRUT,187ML  •  24 Case  •  SCREW CAP  •  GLASS,Freixenet Cava Splits,mapped,
Southern (Proof),654453,HORNITOS TEQ PINEAPPLE 70,750ML  •  12 Case  •  SYNTHETIC CORK,,ignore,
Southern (Proof),975690,JIM BEAM BOURBON 80,1.0L  •  12 Case  •  SCREW CAP,,ignore,
Southern (Proof),912425,GAMBINO CUVEE BRUT,750ML  •  12 Case  •  NATURAL CORK  •  GLASS,Gambino Sparkling,mapped,
Southern (Proof),615376,TRADER VICS KO-KO KREME SYRUP PET,32 Z  •  12 Case  •  SCREW CAP,,ignore,
Southern (Proof),205941,MATHILDE LIQ POIRES/PEAR 36,750ML  •  6 Case  •  SCREW CAP  •  GLASS,Pear Liquer,mapped,
Southern (Proof),650446,JIM BEAM BBN PINEAPPLE 65 12P,1.0L  •  12 Case  •  SCREW CAP,,ignore,
Southern (Proof),966175,HORNITOS TEQ PLATA 80,1.0L  •  12 Case  •  SYNTHETIC CORK,,ignore,
Gate City (SipMarket),23196,FIRESTONE 805 K 1/6BBL,Sixth Barrel,,ignore,
Southern (Proof),314849,MOET IMPERIAL BRUT,750ML  •  6 Case  •  NATURAL CORK  •  GLASS,,ignore,
Southern (Proof),41175,CLICQUOT YELLOW LABEL BRUT,750ML  •  12 Case  •  NATURAL CORK  •  GLASS,,ignore,
Southern (Proof),669154,MOET IMPERIAL BRUT EOY25 GB,750ML  •  6 Case  •  NATURAL CORK,,ignore,
Southern (Proof),398418,OLE SMOKY MOONSH APPLE PIE 70,750ML  •  6 Case  •  ALTERNATIVE  •  OTHER,,ignore,
Southern (Proof),397620,OLE SMOKY MOONSH LEMON DROP 65,750ML  •  6 Case  •  ALTERNATIVE  •  GLASS,,ignore,
Southern (Proof),358459,FEE BROS FEE FOAM,5 Z  •  12 Case  •  SCREW CAP  •  GLASS,,ignore,
Gate City (SipMarket),17502,ANGRY ORCHARD CRISP APPLE K 1/2BBL,Half Barrel,,ignore,
Gate City (SipMarket),10427,SAM ADAMS SUMMER K 1/2BBL,Half Barrel,Sam Seasonal,mapped,
Gate City (SipMarket),133196CW,REAL INFUSED EXOTICS LYCHEE P6 16.9OZ,P6 16.9OZ,Lychee Syrup,mapped,
Gate City (SipMarket),10422,SAM ADAMS OCTOBERFEST K 1/2BBL,Half Barrel,Sam Seasonal,mapped,
Gate City (SipMarket),63740,JACK DAN RTD JACK AND GINGER ALE C24 12OZ 4P,"24 - 12oz Cans, 4 Pack",,ignore,
Southern (Proof),460462,OLE SMOKY MOONSH BLACKBERRY 40,750ML  •  6 Case  •  SCREW CAP,,ignore,
Gate City (SipMarket),121583BW,TITOS VODKA ORIGINAL B12 1L,1 Liter Bottle,,ignore,
Southern (Proof),574614,BRIOTTET CREME DE BANANE 50,700ML  •  6 Case  •  T-TOP,Banana Liquer,mapped,
Southern (Proof),618251,JIM BEAM BBN BLACK 7YR 90,1.0L  •  12 Case  •  SCREW CAP,,ignore,
Southern (Proof),683503,EMERALD BURGUNDY PROPRIETOR RSV,18.0L  •  1 Case  •  ALTERNATIVE,,ignore,
Southern (Proof),677273,BONANZA CAB SAUV THE VINEKEEPER,750ML  •  12 Case  •  NATURAL CORK,,ignore,
Gate City (SipMarket),324060BW,W.L. WELLER CYPB B6 750ML,750ml Bottle,,ignore,
Southern (Proof),15132,STANFORD GOV CUV BRUT CHARMANT,750ML  •  12 Case  •  UNSPECIFIED,,ignore,
